Brand,Model,Year,Milage,Transmission,Location,Color,Fuel,Price,Post Date
Daewoo || ﻮﻳﺍﺩ,Lanos || ﺱﻮﻧﻻ,1999,244000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,230000,2025-04-18
Opel || ﻞﺑﻭﺍ,Astra || ﺍﺮﺘﺳﺃ,2016,222000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻯﺩﺎﻌﻤﻟﺍ,ﻲﻨﺑ,ﻦﻳﺰﻨﺑ,600000,2025-04-18
Speranza || ﺍﺰﻧﺍﺮﻴﺒﺳﺍ,A516,2007,202681,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,275031,2025-04-18
Renault || ﻮﻨﻳﺭ,Logan || ﻥﺎﺟﻮﻟ,2017,330000,ﻝﺍﻮﻴﻧﺎﻣ,ﺝﺮﻤﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,430000,2025-04-18
MG || ﻰﺟ ﻡﺍ,6,2022,95000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺍﺮﺒﺷ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,916392,2025-04-18
Speranza || ﺍﺰﻧﺍﺮﻴﺒﺳﺍ,A113,2011,110000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﻤﺣﻷﺍ ﺮﺤﺒﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,245000,2025-04-18
Brilliance || ﺲﻧﺎﻴﻠﻳﺮﺑ,FSV,2011,110000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﻤﺣﻷﺍ ﺮﺤﺒﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,395000,2025-04-18
Daewoo || ﻮﻳﺍﺩ,Lacetti || ﻰﺘﺳﻻ,2009,335000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,445000,2025-04-18
Volkswagen || ﻦﻏﺎﻓ ﺲﻜﻟﻮﻓ,Passat || ﺕﺎﺳﺎﺑ,2014,156687,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,850000,2025-04-18
Volkswagen || ﻦﻏﺎﻓ ﺲﻜﻟﻮﻓ,Passat || ﺕﺎﺳﺎﺑ,2000,235000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺮﺼﻣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,320000,2025-04-18
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Cruze || ﺯﻭﺮﻛ,2000,235000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺮﺼﻣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,395000,2025-04-18
Skoda || ﺍﺩﻮﻜﺳ,Kodiaq || ﻙﺎﻳﺩﻮﻛ,2024,9,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺪﻳﺍﺯ ﺦﻴﺸﻟﺍ ﺔﻨﻳﺪﻣ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,2550000,2025-04-18
Opel || ﻞﺑﻭﺍ,Astra || ﺍﺮﺘﺳﺃ,2013,199000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻣﺎﻄﻘﻟﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,540000,2025-04-19
Renault || ﻮﻨﻳﺭ,Austral || ﻝﺍﺮﺘﺳﻭﺍ,2013,199000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﻣﺎﻄﻘﻟﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,1770000,2025-04-19
